precinct,raceName,name,votePercentage
1005,Railroad Commissioner,Chrysta Casta,76.89%
1005,Railroad Commissioner,Matt Sterett ,1.83%
1005,Railroad Commissioner,"Katija ""Kat"" Gruene ",1.37%
1005,"Chief Justice, Supreme Court",Nathan Hecht ,17.67%
1005,"Chief Justice, Supreme Court",Amy Clark Meachum ,78.60%
1005,"Chief Justice, Supreme Court",Mark Ash ,3.72%
1005,"Justice, Supreme Court, Place 6 (Unexpired Term)",Jane Bland ,23.35%
1005,"Justice, Supreme Court, Place 6 (Unexpired Term)",Kathy Cheng ,76.65%
1005,"Justice, Supreme Court, Place 7",Jeff Boyd ,19.95%
1005,"Justice, Supreme Court, Place 7",Staci Williams ,77.73%
1005,"Justice, Supreme Court, Place 7",William Bryan Strange III ,2.32%
1005,"Justice, Supreme Court, Place 8",Brett Busby ,20.09%
1005,"Justice, Supreme Court, Place 8",Gisela D. Triana ,77.37%
1005,"Justice, Supreme Court, Place 8",Tom Oxford ,2.54%
1005,"Judge, Court of Criminal Appeals, Place 3",Bert Richardson ,21.06%
1005,"Judge, Court of Criminal Appeals, Place 3",Elizabeth Davis Frizell ,78.94%
1005,"Judge, Court of Criminal Appeals, Place 4",Kevin Patrick Yeary ,21.53%
1005,"Judge, Court of Criminal Appeals, Place 4",Tina Clinton ,78.47%
1005,"Judge, Court of Criminal Appeals, Place 9",David Newell ,21.65%
1005,"Judge, Court of Criminal Appeals, Place 9",Brandon Birmingham ,78.35%
1005,"State Senator, District 26",Jos,91.71%
1005,"State Senator, District 26",Juli,8.29%
1005,"State Representative, District 119",George B. Garza ,18.84%
1005,"State Representative, District 119","Elizabeth ""Liz"" Campos ",76.74%
1005,"State Representative, District 119",Arthur M. Thomas IV ,2.56%
1005,"State Representative, District 119",Antonio Padron ,1.86%
1005,"Chief Justice, 4th Court of Appeals District",Ren,18.31%
1005,"Chief Justice, 4th Court of Appeals District",Rebeca Martinez ,81.69%
1005,"District Judge, 37th Judicial District",Joseph P. Appelt ,18.41%
1005,"District Judge, 37th Judicial District",Nicole Garza ,81.59%
1005,"District Judge, 144th Judicial District (Unexpired Term)",Melisa Skinner ,22.48%
1005,"District Judge, 144th Judicial District (Unexpired Term)",Michael Mery ,77.52%
1005,"District Judge, 386th Judicial District",Daphne Previti Austin ,18.87%
1005,"District Judge, 386th Judicial District","Jacqueline ""Jackie"" Vald",81.13%
1005,"District Judge, 399th Judicial District",Walden Shelton ,17.67%
1005,"District Judge, 399th Judicial District",Frank J. Castro ,82.33%
1005,"District Judge, 407th Judicial District",Stephani Walsh ,18.08%
1005,"District Judge, 407th Judicial District",Tina Torres ,81.92%
1005,Sheriff,"Gerard C. ""Gerry"" Rickhoff ",15.30%
1005,Sheriff,Javier Salazar ,84.47%
1005,Sheriff,Write-In Totals ,0.23%
1005,County Tax Assessor-Collector,Stephen David Pennington ,18.54%
